seed,recorded_evaluation,ie,delta,logNe,logT,logNp,As_pct,Az_deg,R_Rsun,FS_Rsun,H_Rsun,incl_deg,Bbase_G,shift_x,shift_y,Q_total,Qimg_6p77,Qimg_9p69,Qspec
11001,1,1.07860005,3.54400015,7.99000025,8,3.66400027,-42.5599976,-20.3399963,0.0193600003,0.0555399992,0.0927800015,-42,702.700012,5,-5,9.43944359,4.00773239,3.13670111,0.382501632
11001,1,2.31599998,2.3440001,7.99000025,8,3.67600012,68.0000153,-33.659996,0.00751600042,0.0708350018,0.0943950042,40.0800095,3461.40015,0,0,38.8854103,23.9673843,2.74460936,2.02890253
11001,1,1.61910009,4.37200022,7.26249981,8,2.6960001,-60.9599991,-32.7599983,0.0151880011,0.0155450003,0.0369199999,-43.0800018,2765.6001,-3,7,99.8879929,1.4943831,1.71595013,16.1129436
11001,1,1.03030002,3.32000017,7.34250021,8,2.10800004,-20.3199959,72,0.00978400093,0.0999050066,0.0718800053,-59.6399994,2138.3999,0,0,18.9646759,11.4052477,3.75162792,0.634633124
11001,1,2.23780012,3.27200007,7.20749998,8,2.90400004,67.5200043,-37.7999954,0.0186600015,0.0937300026,0.084800005,-59.6399994,3853.40015,0,0,10.326931,3.18152714,2.97409391,0.695218384
11001,1,1.47650003,2.22399998,5.88749981,8,1.41600001,-46.3999977,-56.3400002,0.0263880026,0.0801450014,0.0794800073,12.2400055,4421.80029,0,0,149.251831,73.684761,5.74044752,11.6377707
11001,1,0.814100027,4.51599979,6.28499985,8,3.44400024,-64.3199997,-17.6399994,0.00337200006,0.0426199995,0.0654200017,-38.0400009,1119.19995,0,0,247.458511,1.65559638,2.16219854,40.6067848
11001,1,1.03720009,4.84800005,6.24749994,8,0.252000004,-15.0399933,-41.0399971,0.026556002,0.0939200073,0.0876500085,57.6000061,4632.50049,0,0,16.0200806,4.45410156,5.65750027,0.984746218
11001,1,1.07860005,3.42000008,7.82000017,8,3.0480001,60.9600067,-29.5199966,0.0259120017,0.0668449998,0.0543050021,-1.43999481,4039.6001,0,0,41.6656799,20.8987446,4.01914501,2.79129815
11001,1,1.47650003,2.20799994,7.36750031,8,1.12,-52.3199997,88.0200043,0.00522000017,0.0825200081,0.0867950097,15.3600006,3779.90015,0,0,18.3024216,1.77555192,2.34689689,2.36332893
11001,1,0.800300002,5.22399998,5.88749981,8,1.41600001,-46.3999977,-71.6399994,0.00337200006,0.0426199995,0.0654200017,-38.0400009,1119.19995,0,0,304.24823,1.78457367,2.1720047,50.0486107
